,lemma_word,word,ENT,suggested_by,rating,video_id,ENT_len,ENT_max
356,jagger fort,jagger fort,{'LANDMARK'},{'Yatra Mitra'},3.0177587131367294,{'dcRh1zTPnDQ'},1,LANDMARK
357,victory,victory,{'LANDMARK'},{'Yatra Mitra'},3.0177587131367294,{'dcRh1zTPnDQ'},1,LANDMARK
358,garh fort,garh fort,{'LANDMARK'},{'Yatra Mitra'},8.017758713136729,{'dcRh1zTPnDQ'},1,LANDMARK
359,akshardham temple,akshardham temple,{'LANDMARK'},{'Yatra Mitra'},3.0177587131367294,{'dcRh1zTPnDQ'},1,LANDMARK
360,virala temple,virala temple,{'LANDMARK'},{'Yatra Mitra'},3.0177587131367294,{'dcRh1zTPnDQ'},1,LANDMARK
361,kanak garden,kanak garden,{'LANDMARK'},{'Yatra Mitra'},3.0177587131367294,{'dcRh1zTPnDQ'},1,LANDMARK
362,moti dungri jaipur,moti dungri jaipur,{'LANDMARK'},{'Yatra Mitra'},3.0177587131367294,{'dcRh1zTPnDQ'},1,LANDMARK
363,merc den,merc den,{'LANDMARK'},{'Sakshi Yadav'},2.4566255144032922,{'lmhzpFfuWKc'},1,LANDMARK
364,mi,mi,{'AREA'},{'Sakshi Yadav'},10.456625514403292,{'lmhzpFfuWKc'},1,AREA
365,sanganeri gate,sanganeri gate,{'LANDMARK'},{'Sakshi Yadav'},6.456625514403292,{'lmhzpFfuWKc'},1,LANDMARK
366,ajmeri gate,ajmeri gate,{'LANDMARK'},{'Sakshi Yadav'},7.456625514403292,{'lmhzpFfuWKc'},1,LANDMARK
367,bapu bazar,bapu bazar,{'LANDMARK'},{'Sakshi Yadav'},4.456625514403292,{'lmhzpFfuWKc'},1,LANDMARK
368,sanjay bazaar,sanjay bazaar,{'AREA'},{'Sakshi Yadav'},2.4566255144032922,{'lmhzpFfuWKc'},1,AREA
369,hawa mail,hawa mail,{'LANDMARK'},{'Sakshi Yadav'},3.4566255144032922,{'lmhzpFfuWKc'},1,LANDMARK
370,indira bazar,indira bazar,{'LANDMARK'},{'Sakshi Yadav'},2.4566255144032922,{'lmhzpFfuWKc'},1,LANDMARK
371,kishan pole,kishan pole,{'LANDMARK'},{'Sakshi Yadav'},2.4566255144032922,{'lmhzpFfuWKc'},1,LANDMARK
372,sanganeri print,sanganeri print,{'LANDMARK'},{'Sakshi Yadav'},2.4566255144032922,{'lmhzpFfuWKc'},1,LANDMARK
